"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-28","2.05","80",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-29","1.61","82",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-30","0.08","82",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-31","0.08","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-01","0.02","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-02","0.16","81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-03","0.87","81",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-04","0.04","83",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-05","0.00","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-06",,"83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-07","0.01","82",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-08","0.20","82",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-09","0.00","81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-10","1.06","82",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-11","0.03","82",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-12","0.31","83",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-13","0.00","82",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-14","0.24","84",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-15","0.08","79",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-16","3.19","80",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-17","1.97","80",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-18","2.24","79",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-19","1.38","80",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-20","0.91","77",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-21","5.63","79",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-22","4.09","81",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-23","1.57","81",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-24","3.66","81",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-25","0.04","81",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-26","0.28","84",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-27","0.00","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-28","0.08","83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-29","0.00","83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-09-30","0.00","82",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-01","0.16","79",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-02","0.39","77",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-03","0.08","78",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-04","0.02","78",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-05","1.65","79",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-06","0.75","80",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-07","0.08","82",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-08","0.00","82",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-09",,"83",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-10",,"84",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-11",,"83",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-12",,"83",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-13",,"83",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-14",,"84",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-15",,"85","92","71"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-16",,"85",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-17",,"87",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-18",,"89",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-19",,"87",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-20",,"85",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-21",,"84",,"70"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-22",,"84",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-23",,"84",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-24",,"83",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-25",,"82",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-26",,"82",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-27",,"86",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-28",,"85",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-29",,"84",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-30",,"84",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-10-31",,"87",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-01",,"87",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-02",,"86",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-03",,"84",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-04",,"82",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-05",,"83",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-06",,"83",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-07",,"82",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-08",,"83",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-09",,"83",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-10",,"81",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-11",,"82",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-12",,"83",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-13",,"83",,"67"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-14",,"83",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-15",,"84",,"67"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-16",,"86",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-17",,"86",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-18",,"84",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-19",,"83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-20",,"81",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-21",,"82",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-22",,"83",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-23",,"84",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-24",,"84",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-25",,"83",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-26",,"82",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-11-27",,"82",,"62"
